Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,disease,Experiment,Genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,identified_by,Instrument,Isolate,Isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR12620259,WGS,288,6217404962,PRJNA662684,SAMN16093018,Viral,2843092565,INSTITUTO EVANDRO CHAGAS,2020-04-03,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public","2317\,1x",COVID-19,SRX9103171,B.1.1,Brazil,South America,Brazil: Amapa,Homo sapiens,Edivaldo C.S. Junior,NextSeq 500,AP-IEC-162620,sputum,162620_S2,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-09-10T00:00:00Z,AP-IEC-162620,SRP281930
SRR12620260,WGS,269,3198282001,PRJNA662684,SAMN16093017,Viral,1474834714,INSTITUTO EVANDRO CHAGAS,2020-04-29,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1","4204\,6x",COVID-19,SRX9103170,B.1.1,Brazil,South America,Brazil: Maranhao,Homo sapiens,Edivaldo C.S. Junior,NextSeq 500,MA-IEC-162466,Oro-pharyngeal swab,162466_S7,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-09-10T00:00:00Z,MA-IEC-162466,SRP281930
SRR12620261,WGS,288,3058418323,PRJNA662684,SAMN16093016,Viral,1424314766,INSTITUTO EVANDRO CHAGAS,2020-04-28,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public","631\,7x",COVID-19,SRX9103169,B.1.1,Brazil,South America,Brazil: Maranhao,Homo sapiens,Edivaldo C.S. Junior,NextSeq 500,MA-IEC-165398,Oro-pharyngeal swab,165398_S9,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-09-10T00:00:00Z,MA-IEC-165398,SRP281930
SRR12620262,WGS,242,1772902016,PRJNA662684,SAMN16093015,Viral,832963373,INSTITUTO EVANDRO CHAGAS,2020-05-05,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1","2125\,4x",COVID-19,SRX9103168,B.1.1,Brazil,South America,Brazil: Maranhao,Homo sapiens,Edivaldo C.S. Junior,NextSeq 500,MA-IEC-166716,Oro-pharyngeal swab,166716_S15,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-09-10T00:00:00Z,MA-IEC-166716,SRP281930
SRR12620263,WGS,287,1886215603,PRJNA662684,SAMN16093014,Viral,888817946,INSTITUTO EVANDRO CHAGAS,2020-04-24,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US","125\,1x",COVID-19,SRX9103167,B.1.1,Brazil,South America,Brazil: Maranhao,Homo sapiens,Edivaldo C.S. Junior,NextSeq 500,MA-IEC-164827,Oro-pharyngeal swab,164827_S14,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-09-10T00:00:00Z,MA-IEC-164827,SRP281930
SRR12620264,WGS,292,3102114909,PRJNA662684,SAMN16093013,Viral,1251131839,INSTITUTO EVANDRO CHAGAS,2020-04-15,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1","1266\,4x",COVID-19,SRX9103166,B.1.1,Brazil,South America,Brazil: Para,Homo sapiens,Edivaldo C.S. Junior,NextSeq 500,PA-IEC-163469,Oro-pharyngeal swab,163469_S2_L001,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-09-10T00:00:00Z,PA-IEC-163469,SRP281930
SRR12620265,WGS,301,2630923499,PRJNA662684,SAMN16093041,Viral,1169633163,INSTITUTO EVANDRO CHAGAS,2020-04-06,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",10936x,COVID-19,SRX9103165,B.1.1,Brazil,South America,Brazil: Maranhao,Homo sapiens,Edivaldo C.S. Junior,NextSeq 500,MA-IEC-163069,Oro-pharyngeal swab,163069_S7,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-09-10T00:00:00Z,MA-IEC-163069,SRP281930
SRR12620266,WGS,301,4036965891,PRJNA662684,SAMN16093040,Viral,1818743588,INSTITUTO EVANDRO CHAGAS,2020-04-27,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",2199x,COVID-19,SRX9103164,B.1.1,Brazil,South America,Brazil: Para,Homo sapiens,Edivaldo C.S. Junior,NextSeq 500,PA-IEC-164684,Oro-pharyngeal swab,164684_S14,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-09-10T00:00:00Z,PA-IEC-164684,SRP281930
SRR12620267,WGS,301,3459673764,PRJNA662684,SAMN16093039,Viral,1546389815,INSTITUTO EVANDRO CHAGAS,2020-04-24,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",9464x,COVID-19,SRX9103163,B.1.1,Brazil,South America,Brazil: Para,Homo sapiens,Edivaldo C.S. Junior,NextSeq 500,PA-IEC-164218,Oro-pharyngeal swab,164218_S11,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-09-10T00:00:00Z,PA-IEC-164218,SRP281930
SRR12620268,WGS,244,1327820233,PRJNA662684,SAMN16093012,Viral,623348801,INSTITUTO EVANDRO CHAGAS,2020-05-01,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public","1955\,8x",COVID-19,SRX9103162,B.1.1,Brazil,South America,Brazil: Para,Homo sapiens,Edivaldo C.S. Junior,NextSeq 500,PA-IEC-165302,Oro-pharyngeal swab,165302_S17,PAIRED,RANDOM,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-09-10T00:00:00Z,PA-IEC-165302,SRP281930
