RegionName,region,population,Source
Roraima,RR,631181,https://github.com/ImperialCollegeLondon/covid19model/blob/master/Brazil/data/brazil-population.csv
Amapá,AP,861773,https://www.ibge.gov.br/estatisticas/sociais/populacao/9109-projecao-da-populacao.html?=&t=resultados
Acre,AC,894470,
Distrito Federal,DF,1585771,
Tocantins,TO,1624183,
Rondônia,RO,1796460,
Sergipe,SE,2319032,
Mato Grosso do Sul,MS,2809394,
Piauí,PI,3280697,
Alagoas,AL,3351092,
Mato Grosso,MT,3526220,
Rio Grande do Norte,RN,3534165,
Paraíba,PB,4039277,
Espírito Santo,ES,4064052,
Amazonas,AM,4207714,
Maranhão,MA,7114598,
Goiás,GO,7116143,
Santa Catarina,SC,7252502,
Pará,PA,8690745,
Ceará,CE,9187886,
Pernambuco,PE,9617072,
Rio Grande do Sul,RS,11422973,
Paraná,PR,11516840,
Bahia,BA,14930424,
Rio de Janeiro,RJ,17366189,
Minas Gerais,MG,21292666,
São Paulo,SP,46289333,
Total,Total,210322852,
